,fid,nunivotcda,cocursodag,cocdadesag,max
20697,9024,8.0,86319298,863192,
20698,9024,8.0,86319298,863192,
20699,9024,8.0,86319298,863192,
20700,9025,9.0,863192982,86319298,
20701,9025,9.0,863192982,86319298,
20702,9026,9.0,863192984,86319298,
20703,9026,9.0,863192984,86319298,
20704,9027,10.0,8631929852,86319298,
20705,9027,10.0,8631929852,86319298,
20706,9028,10.0,8631929854,86319298,
20707,9028,10.0,8631929854,86319298,
20708,9029,9.0,863192986,86319298,
20709,9029,9.0,863192986,86319298,
20710,9030,9.0,863192988,86319298,
20711,9031,10.0,8631929912,863192,
20712,9031,10.0,8631929912,863192,
20713,9031,10.0,8631929912,863192,
20714,9032,10.0,8631929924,863192992,
20715,9032,10.0,8631929924,863192992,
20716,9033,11.0,86319299312,863192,
20717,9034,10.0,8631929932,863192,
20718,9034,10.0,8631929932,863192,
20719,9035,11.0,86319299332,863192,
20720,9036,10.0,8631929934,863192,
20721,9036,10.0,8631929934,863192,
20722,9037,11.0,86319299352,863192,
20723,9038,11.0,86319299354,863192,
20724,9039,10.0,8631929936,863192,
20725,9039,10.0,8631929936,863192,
20726,9040,11.0,86319299362,8631929936,
20727,9041,10.0,8631929938,863192,
20728,9041,10.0,8631929938,863192,
20729,9042,10.0,8631931466,863193146,
20730,9042,10.0,8631931466,863193146,
20731,9043,9.0,863192994,863192,
20732,9043,9.0,863192994,863192,
20733,9043,9.0,863192994,863192,
20734,9044,10.0,8631929942,863192994,
20735,9044,10.0,8631929942,863192994,
20736,9045,9.0,863192996,863192,
20737,9045,9.0,863192996,863192,
20738,9045,9.0,863192996,863192,
20739,9045,9.0,863192996,863192,
20740,9046,10.0,8631929962,863192996,
20741,9046,10.0,8631929962,863192996,
20742,9047,9.0,863192998,863192,
20743,9047,9.0,863192998,863192,
20744,9048,10.0,8631929992,863192,
20745,9048,10.0,8631929992,863192,
20746,9049,10.0,8631929994,863192,
20747,9049,10.0,8631929994,863192,
20748,9050,11.0,86319314634,863193146,
20749,9051,9.0,863193216,8631932,7.275
20750,9051,9.0,863193216,8631932,7.275
20751,9052,8.0,86319312,86,7.2749999999999995
20752,9052,8.0,86319312,86,7.275
20753,9052,8.0,86319312,86,7.2749999999999995
20754,9052,8.0,86319312,86,7.2749999999999995
20755,9052,8.0,86319312,86,7.2749999999999995
20756,9053,9.0,863193122,86319312,7.2749999999999995
20757,9053,9.0,863193122,86319312,7.2749999999999995
20758,9054,9.0,863193124,86319312,7.2749999999999995
20759,9054,9.0,863193124,86319312,7.275
20760,9055,9.0,863193132,86,7.275
20761,9055,9.0,863193132,86,7.275
20762,9055,9.0,863193132,86,7.275
20763,9056,10.0,8631931322,863193132,7.275
20764,9056,10.0,8631931322,863193132,7.275
20765,9057,11.0,86319313222,8631931322,7.275
20766,9058,9.0,863193134,86,7.2749999999999995
20767,9058,9.0,863193134,86,7.275
20768,9059,10.0,8631931452,86319314,7.2749999999999995
20769,9059,10.0,8631931452,86319314,7.275
20770,9060,10.0,8631931454,86319314,7.2749999999999995
20771,9060,10.0,8631931454,86319314,7.275
20772,9061,11.0,86319314552,86319314,7.275
20773,9062,12.0,863193145522,86319314552,7.275
20774,9063,11.0,86319314554,86319314,7.275
20775,9064,8.0,86319314,86,7.2749999999999995
20776,9064,8.0,86319314,86,7.2749999999999995
20777,9064,8.0,86319314,86,7.2749999999999995
20778,9064,8.0,86319314,86,7.2749999999999995
20779,9064,8.0,86319314,86,7.2749999999999995
20780,9064,8.0,86319314,86,7.2749999999999995
20781,9064,8.0,86319314,86,7.275
20782,9064,8.0,86319314,86,7.275
20783,9064,8.0,86319314,86,
20784,9064,8.0,86319314,86,
20785,9064,8.0,86319314,86,
20786,9064,8.0,86319314,86,
20787,9064,8.0,86319314,86,
20788,9064,8.0,86319314,86,
20789,9064,8.0,86319314,86,
20790,9064,8.0,86319314,86,
20791,9064,8.0,86319314,86,
20792,9065,9.0,863193142,86319314,7.2749999999999995
20793,9065,9.0,863193142,86319314,7.2749999999999995
20794,9066,9.0,863193144,86319314,7.2749999999999995
20795,9066,9.0,863193144,86319314,7.275
20796,9066,9.0,863193144,86319314,7.2749999999999995
20797,9066,9.0,863193144,86319314,7.2749999999999995
20798,9067,10.0,8631931442,863193144,7.275
20799,9067,10.0,8631931442,863193144,7.2749999999999995
20800,9068,10.0,8631931444,863193144,7.2749999999999995
20801,9068,10.0,8631931444,863193144,7.275
20802,9069,10.0,8631931468,863193146,
20803,9069,10.0,8631931468,863193146,
20804,9070,10.0,8631931456,86319314,7.275
20805,9070,10.0,8631931456,86319314,7.275
20806,9071,10.0,8631931458,86319314,
20807,9071,10.0,8631931458,86319314,
20808,9072,11.0,86319314592,86319314,
20809,9073,11.0,86319314594,86319314,
20810,9074,12.0,863193145942,86319314594,
20811,9075,11.0,86319314596,86319314,7.2749999999999995
20812,9076,9.0,863193146,86319314,
20813,9076,9.0,863193146,86319314,
20814,9076,9.0,863193146,86319314,
20815,9076,9.0,863193146,86319314,
20816,9076,9.0,863193146,86319314,
20817,9076,9.0,863193146,86319314,
20818,9077,10.0,8631931462,863193146,
20819,9077,10.0,8631931462,863193146,
20820,9078,11.0,86319314622,8631931462,
20821,9079,11.0,86319314632,863193146,
20822,9080,10.0,8631932114,8631932,7.275
20823,9080,10.0,8631932114,8631932,7.275
20824,9081,9.0,863193148,86319314,
20825,9081,9.0,863193148,86319314,
20826,9081,9.0,863193148,86319314,
20827,9081,9.0,863193148,86319314,
20828,9081,9.0,863193148,86319314,
20829,9082,10.0,8631931482,863193148,
20830,9082,10.0,8631931482,863193148,
20831,9083,10.0,8631931484,863193148,
20832,9084,11.0,86319314912,86319314,
20833,9085,12.0,863193149122,86319314912,
20834,9086,11.0,86319314914,86319314,
20835,9087,11.0,86319314916,86319314,
20836,9088,10.0,8631931492,86319314,
20837,9088,10.0,8631931492,86319314,
20838,9089,10.0,8631931494,86319314,
20839,9089,10.0,8631931494,86319314,
20840,9090,11.0,86319314942,8631931494,
20841,9091,11.0,86319314944,8631931494,
20842,9092,11.0,86319314952,86319314,
20843,9093,10.0,8631931496,86319314,
20844,9093,10.0,8631931496,86319314,
20845,9094,11.0,86319314962,8631931496,
20846,9095,10.0,8631931498,86319314,
20847,9095,10.0,8631931498,86319314,
20848,9096,9.0,863193152,86,7.275
20849,9096,9.0,863193152,86,7.2749999999999995
20850,9097,9.0,863193266,86319326,
20851,9097,9.0,863193266,86319326,
20852,9098,9.0,863193154,86,7.2749999999999995
20853,9098,9.0,863193154,86,7.275
20854,9099,9.0,863193156,86,7.2749999999999995
20855,9099,9.0,863193156,86,7.2749999999999995
20856,9099,9.0,863193156,86,7.2749999999999995
20857,9099,9.0,863193156,86,7.275
20858,9100,10.0,8631931562,863193156,7.2749999999999995
20859,9100,10.0,8631931562,863193156,7.275
20860,9101,9.0,863193158,86,7.275
20861,9101,9.0,863193158,86,7.2749999999999995
20862,9102,8.0,86319316,86,7.2749999999999995
20863,9102,8.0,86319316,86,7.2749999999999995
20864,9102,8.0,86319316,86,7.275
20865,9102,8.0,86319316,86,7.275
20866,9102,8.0,86319316,86,7.275
20867,9103,9.0,863193162,86319316,7.2749999999999995
20868,9103,9.0,863193162,86319316,7.2749999999999995
20869,9104,9.0,863193164,86319316,7.2749999999999995
20870,9104,9.0,863193164,86319316,7.275
20871,9105,9.0,863193166,86319316,7.275
20872,9105,9.0,863193166,86319316,7.275
20873,9105,9.0,863193166,86319316,7.275
20874,9105,9.0,863193166,86319316,7.275
20875,9106,10.0,8631931662,863193166,7.275
20876,9106,10.0,8631931662,863193166,7.275
20877,9107,9.0,863193168,86319316,7.2749999999999995
20878,9107,9.0,863193168,86319316,7.2749999999999995
20879,9107,9.0,863193168,86319316,7.275
20880,9108,10.0,8631931682,863193168,7.2749999999999995
20881,9108,10.0,8631931682,863193168,7.275
20882,9109,9.0,863193212,8631932,7.275
20883,9109,9.0,863193212,8631932,7.275
20884,9110,9.0,863193214,8631932,7.275
20885,9110,9.0,863193214,8631932,7.275
20886,9111,8.0,86319318,86,7.275
20887,9111,8.0,86319318,86,7.275
20888,9111,8.0,86319318,86,7.2749999999999995
20889,9111,8.0,86319318,86,7.2749999999999995
20890,9111,8.0,86319318,86,7.275
20891,9111,8.0,86319318,86,7.275
20892,9111,8.0,86319318,86,7.275
20893,9112,9.0,863193182,86319318,7.2749999999999995
20894,9112,9.0,863193182,86319318,7.2749999999999995
20895,9112,9.0,863193182,86319318,7.2749999999999995
20896,9113,10.0,8631931822,863193182,7.2749999999999995
20897,9113,10.0,8631931822,863193182,7.2749999999999995
20898,9114,9.0,863193184,86319318,7.2749999999999995
20899,9114,9.0,863193184,86319318,7.2749999999999995
20900,9115,9.0,863193186,86319318,7.2749999999999995
20901,9115,9.0,863193186,86319318,7.2749999999999995
20902,9116,9.0,863193188,86319318,7.2749999999999995
20903,9116,9.0,863193188,86319318,7.275
20904,9116,9.0,863193188,86319318,7.275
20905,9117,10.0,8631931882,863193188,7.275
20906,9117,10.0,8631931882,863193188,7.275
20907,9117,10.0,8631931882,863193188,7.275
20908,9118,10.0,8631931892,86319318,7.275
20909,9118,10.0,8631931892,86319318,7.275
20910,9119,9.0,863193192,86,7.275
20911,9120,9.0,863193194,86,7.275
20912,9120,9.0,863193194,86,7.275
20913,9121,9.0,863193196,86,7.275
20914,9121,9.0,863193196,86,7.275
20915,9121,9.0,863193196,86,7.275
20916,9122,10.0,8631931972,86,7.275
20917,9122,10.0,8631931972,86,7.275
20918,9123,9.0,863193198,86,7.275
20919,9124,7.0,8631932,86,7.2749999999999995
20920,9124,7.0,8631932,86,7.2749999999999995
20921,9124,7.0,8631932,86,7.2749999999999995
20922,9124,7.0,8631932,86,7.275
20923,9124,7.0,8631932,86,7.275
20924,9124,7.0,8631932,86,7.275
20925,9124,7.0,8631932,86,7.275
20926,9124,7.0,8631932,86,7.275
20927,9124,7.0,8631932,86,7.275
20928,9124,7.0,8631932,86,7.275
20929,9124,7.0,8631932,86,7.275
20930,9124,7.0,8631932,86,7.275
20931,9124,7.0,8631932,86,7.275
20932,9124,7.0,8631932,86,7.2749999999999995
20933,9124,7.0,8631932,86,7.2749999999999995
20934,9124,7.0,8631932,86,7.2749999999999995
20935,9124,7.0,8631932,86,7.2749999999999995
20936,9124,7.0,8631932,86,7.275
20937,9124,7.0,8631932,86,7.275
20938,9124,7.0,8631932,86,7.275
20939,9124,7.0,8631932,86,7.275
20940,9124,7.0,8631932,86,
20941,9124,7.0,8631932,86,
20942,9124,7.0,8631932,86,
20943,9124,7.0,8631932,86,
20944,9124,7.0,8631932,86,
20945,9124,7.0,8631932,86,
20946,9124,7.0,8631932,86,
20947,9124,7.0,8631932,86,
20948,9124,7.0,8631932,86,
20949,9124,7.0,8631932,86,
20950,9124,7.0,8631932,86,
20951,9124,7.0,8631932,86,
20952,9124,7.0,8631932,86,
20953,9124,7.0,8631932,86,
20954,9124,7.0,8631932,86,
20955,9124,7.0,8631932,86,
